,Time,Open,High,Low,Close,Volume
1285,2014-10-09T11:55:00+0530,224.17,224.27,224,224.23,7932
1286,2014-10-09T11:56:00+0530,224.22,224.43,224.09,224.42,6027
1287,2014-10-09T11:57:00+0530,224.23,224.23,224.03,224.17,3582
1288,2014-10-09T11:58:00+0530,224.33,224.49,224.2,224.37,2697
1289,2014-10-09T11:59:00+0530,224.35,224.47,224.27,224.47,1962
1290,2014-10-09T12:00:00+0530,224.47,224.49,224.33,224.35,4497
1291,2014-10-09T12:01:00+0530,224.39,224.49,224.37,224.39,2694
1292,2014-10-09T12:02:00+0530,224.45,224.49,224.37,224.4,7614
1293,2014-10-09T12:03:00+0530,224.47,224.49,224.35,224.39,2937
1294,2014-10-09T12:04:00+0530,224.35,224.47,224.35,224.43,2028
1295,2014-10-09T12:05:00+0530,224.4,224.4,224.03,224.23,6159
1296,2014-10-09T12:06:00+0530,224.12,224.29,224.07,224.15,4272
1297,2014-10-09T12:07:00+0530,224.15,224.25,224.12,224.22,771
1298,2014-10-09T12:08:00+0530,224.22,224.33,224.17,224.3,3381
1299,2014-10-09T12:09:00+0530,224.3,224.47,224.3,224.33,2811
1300,2014-10-09T12:10:00+0530,224.33,224.43,224.3,224.43,1467
1301,2014-10-09T12:11:00+0530,224.3,224.43,224.3,224.33,867
1302,2014-10-09T12:12:00+0530,224.33,224.49,224.29,224.29,5067
1303,2014-10-09T12:13:00+0530,224.3,224.3,224.27,224.27,303
1304,2014-10-09T12:14:00+0530,224.27,224.27,224.13,224.17,897
1305,2014-10-09T12:15:00+0530,224.17,224.39,224.09,224.22,2709
1306,2014-10-09T12:16:00+0530,224.09,224.37,224.02,224.25,2076
1307,2014-10-09T12:17:00+0530,224.42,224.49,224.15,224.4,2370
1308,2014-10-09T12:18:00+0530,224.4,224.45,224.35,224.35,1194
1309,2014-10-09T12:19:00+0530,224.35,224.45,224.27,224.3,1368
1310,2014-10-09T12:20:00+0530,224.22,224.43,224.22,224.23,2523
1311,2014-10-09T12:21:00+0530,224.39,224.39,224.17,224.17,5415
1312,2014-10-09T12:22:00+0530,224.17,224.33,224.17,224.32,1938
1313,2014-10-09T12:23:00+0530,224.39,224.42,224.2,224.35,4071
