id,number_of_retweets,number_of_favorites,created_at,text
999834959719223296,1,6,2018-05-25 02:10:05,b'Just a few pictures from Day 1 of @Traderscarnival.\nTune in to BloombergQuint to watch our coverage of the best tra\xe2\x80\xa6 https://t.co/UHJG2eBfFT'
999834939829895168,5,3,2018-05-25 02:10:00,"b""Here's a quick look at corporate insider trades reported on Thursday.\nhttps://t.co/VCEFPDGTEf https://t.co/7s2fw4xqTF"""
999833838153973761,12,11,2018-05-25 02:05:37,b'IOC raises fuel prices for the 12th consecutive day.\nhttps://t.co/3l4oHvaLZa https://t.co/I94BYCyeAF'
999832423633506304,2,2,2018-05-25 02:00:00,"b'GAIL plans to list its subsidiary GAIL Gas on the bourses, reports @bhanvi_1.\nhttps://t.co/eJITleB7Mx https://t.co/t8XLznMSVW'"
999832416687742981,0,1,2018-05-25 01:59:58,"b'All You Need To Know #BQLive\n- Trump calls off North Korea summit, but Kim still wants to meet\n- What to expect fro\xe2\x80\xa6 https://t.co/TJ19szMyHp'"
999829907927654400,3,3,2018-05-25 01:50:00,"b""Here's a lineup of all major corporate meetings over the next few days.\nhttps://t.co/VCEFPDYv2P https://t.co/AGeMmGY6Mx"""
999828648491446272,1,4,2018-05-25 01:45:00,b'U.S. President Donald Trump canceled his planned summit with North Korean leader Kim Jong Un.\xe2\x80\xa6 https://t.co/kVqt3fm6Bz'
999828648197742593,0,3,2018-05-25 01:45:00,b'#PNBFraud | Enforcement Directorate files charge sheet against Nirav Modi.\nhttps://t.co/xNrA5Ck9or https://t.co/KOCtDCqCUk'
999827669108776963,3,1,2018-05-25 01:41:06,b'All you need to know going into trade today.\nhttps://t.co/VCEFPDGTEf https://t.co/A6dQ3hfNgP'
999826218080862208,4,8,2018-05-25 01:35:20,b'The next best thing to attending @Traderscarnival is tuning into BloombergQuint to watch our coverage of the best t\xe2\x80\xa6 https://t.co/LGhzudvfac'
999824960796278784,2,2,2018-05-25 01:30:21,b'#BQPodcast | Top of the morning to you! @alexandermats &amp; @darshanvmehta1 get you all the top news today.\nhttps://t.co/0arx3pEdSU'
999824906778013696,0,3,2018-05-25 01:30:08,b'DayBreak #BQLive\n- Sun Pharma may have to swallow a bitter pill in Q4 when it comes out with earnings today\n- Why P\xe2\x80\xa6 https://t.co/EnLK1mGyKo'
999824873177333760,4,9,2018-05-25 01:30:00,"b'As Narendra Modi enters the final year of his term, a relentless rally in global oil prices is set to sour his part\xe2\x80\xa6 https://t.co/Lce26zF8TA'"
999823363169120257,5,10,2018-05-25 01:24:00,b'Brokerage calls this morning.\nhttps://t.co/GphQPBMnvl https://t.co/QZz7eWRMQw'
999817917846863872,1,3,2018-05-25 01:02:21,b'#BQMarketsNow | U.S. stocks claw back losses as geopolitics fears cool.\nhttps://t.co/LMJ3cOhaJa https://t.co/ULILPf9PUl'
999814929992437760,0,0,2018-05-25 00:50:29,b'President Trump calls off his planned summit with Kim Jong Un.\nhttps://t.co/vbQNKSFUP5'
999809773867433985,0,0,2018-05-25 00:30:00,"b'The economy under PM Modi: Gains, self-inflicted pains, and a dash of luck, reports @PallaviNahata.\xe2\x80\xa6 https://t.co/nHH8mRuuNr'"
999794676008861699,0,1,2018-05-24 23:30:00,b'Saudi Arabia is set to make Modi\xe2\x80\x99s oil problem worse.\nhttps://t.co/hrC7PWmEql https://t.co/WG0xGjrZhv'
999779575738626050,0,0,2018-05-24 22:30:00,"b'Delta\xe2\x80\x99s  India service will begin next year, subject to government approval.\nhttps://t.co/sSzJ2zdIIZ https://t.co/RKkZXfHQaN'"
999764477431111681,4,4,2018-05-24 21:30:00,b'Netflix surpasses Disney to become the world\xe2\x80\x99s biggest media stock.\nhttps://t.co/Tkh2epucWg https://t.co/xjUgejHdTe'
999749377257328642,0,2,2018-05-24 20:30:00,"b""Uber's self-driving car in fatal crash wasn't programmed to brake.\nhttps://t.co/dhmKwJLmat https://t.co/vaK3a6gKXe"""
999734279373512705,2,2,2018-05-24 19:30:01,b'New airline regulations to benefit passengers.\nhttps://t.co/eMHQA6IByH https://t.co/BH277ug2cx'
999731961634504705,2,0,2018-05-24 19:20:48,b'President Trump gets cold feet on China trade deal.\nhttps://t.co/jEpW4Z8L6f https://t.co/m66Andp8tL'
999728947687440385,5,13,2018-05-24 19:08:49,"b'Trump can win by walking away from Korea talks, writes @EliLake\nhttps://t.co/juX1p5tTxt https://t.co/WZiTfVQjw7'"
999728370605744128,0,0,2018-05-24 19:06:32,"b'Tech superpowers walk the Orwellian tightrope, writes @ShiraOvide.\n https://t.co/IHHifPjPKm https://t.co/ZC90u4Rh5J'"
999728103738900482,0,1,2018-05-24 19:05:28,"b'Elon Musk should go ahead and build \xe2\x80\x98Pravda\xe2\x80\x99, writes @Bershidsky.\nhttps://t.co/YhehASGI8N https://t.co/CTFQEsFQ7j'"
999727596236521473,26,41,2018-05-24 19:03:27,b'47% of Indians don\xe2\x80\x99t want BJP government back: CSDS survey (Via @TheQuint)\nhttps://t.co/6tnJ9F0sUn https://t.co/SR85ijuuul'
999726731585052673,0,2,2018-05-24 19:00:01,"b""President Trump cancels summit with North Korea's Kim Jong Un citing \xe2\x80\x98hostility.\xe2\x80\x99 \nhttps://t.co/trPIGrgMnz https://t.co/0Qv2LvxhwG"""
999725864081281024,3,5,2018-05-24 18:56:34,"b""Lack of funds repel deserving candidates from contesting elections: Swaraj India's @_YogendraYadav takes on BJP's\xe2\x80\xa6 https://t.co/5Dmutviz6L"""
999724519743832069,5,4,2018-05-24 18:51:14,"b'Two things that worry me in the CV business are inflation and interest rates, says @TataMotors Group CFO PB Balaji\xe2\x80\xa6 https://t.co/NYV5p4Qq1N'"
999722852654891013,2,2,2018-05-24 18:44:36,b'Morgan Freeman accused of sexual harassment. \n(Via @TheQuint)\nhttps://t.co/6TmXibTM75 https://t.co/BcMzafBNbb'
